SiteInfor,Country,Latitude,Longitude,Elevation,MAT,MAP,ClimateType,SamplingDepth,SamplingThickness,SandPerc,SiltPerc,ClayPerc,Texture,SoilpH,CoverCrop,CoverCropGroup,GrainCrop,GrainCropGroup,Tillage_C,Tillage_T,Fertilization_C,Fertilization_T,Conservation_Type,ControlDescription,Yield_C,Yield_T,Weed_C,Weed_T
" Garden City, KS",USA,37.97,-100.87,865.6,,489,,0-to-7.5,7.5,,,,Silt loam,,Triticale_Winter,Grass,Winter_wheat/Crop,WO,,,,,CC,Fallow,,,,
" Garden City, KS",USA,37.97,-100.87,865.6,,489,,0-to-7.5,7.5,,,,Silt loam,,Triticale_Spring,Grass,Winter_wheat/Crop,WO,,,,,CC,Fallow,,,,
" Garden City, KS",USA,37.97,-100.87,865.6,,489,,0-to-7.5,7.5,,,,Silt loam,,Continus_wheat,Grass,Winter_wheat/Crop,WO,,,,,CC,Fallow,,,,
" Garden City, KS",USA,37.97,-100.87,865.6,,489,,0-to-7.5,7.5,,,,Silt loam,,Lentil_Winter,Legume,Winter_wheat/Crop,WO,,,,,CC,Fallow,,,,
" Garden City, KS",USA,37.97,-100.87,865.6,,489,,0-to-7.5,7.5,,,,Silt loam,,Pea_Spring,Legume,Winter_wheat/Crop,WO,,,,,CC,Fallow,,,,
" Garden City, KS",USA,37.97,-100.87,865.6,,489,,0-to-7.5,7.5,,,,Silt loam,,Lentil_Winter,Legume,Winter_wheat/Crop,WO,,,,,CC,Fallow,,,,
" Garden City, KS",USA,37.97,-100.87,865.6,,489,,0-to-7.5,7.5,,,,Silt loam,,Pea_Spring,Legume,Winter_wheat/Crop,WO,,,,,CC,Fallow,,,,
" Garden City, KS",USA,37.97,-100.87,865.6,,489,,0-to-7.5,7.5,,,,Silt loam,,Lentil_Spring,Legume,Winter_wheat/Crop,WO,,,,,CC,Fallow,,,,
" Garden City, KS",USA,37.97,-100.87,865.6,,489,,0-to-7.5,7.5,,,,Silt loam,,Triticale_Winter,Grass,Winter_wheat/Crop,WO,,,,,CC,Fallow,,,,
" Garden City, KS",USA,37.97,-100.87,865.6,,489,,0-to-7.5,7.5,,,,Silt loam,,Triticale_Spring,Grass,Winter_wheat/Crop,WO,,,,,CC,Fallow,,,,
" Garden City, KS",USA,37.97,-100.87,865.6,,489,,0-to-7.5,7.5,,,,Silt loam,,Continus_wheat,Grass,Winter_wheat/Crop,WO,,,,,CC,Fallow,,,,
" Garden City, KS",USA,37.97,-100.87,865.6,,489,,0-to-7.5,7.5,,,,Silt loam,,Lentil_Winter,Legume,Winter_wheat/Crop,WO,,,,,CC,Fallow,,,,
" Garden City, KS",USA,37.97,-100.87,865.6,,489,,0-to-7.5,7.5,,,,Silt loam,,Pea_Spring,Legume,Winter_wheat/Crop,WO,,,,,CC,Fallow,,,,
,USA,35.38,-77.99,32.7,,,,0-to-15,15,24.55,61.85,,Loamy sand,,Crimson_clover,Legume,Soybean,Soybean,Conventional disk tillage,Conventional disk tillage,,,CC,No cover crop,,,,
,USA,35.38,-77.99,32.7,,,,0-to-15,15,24.55,61.85,,Loamy sand,,Vetch,Legume,Soybean,Soybean,Conventional disk tillage,Conventional disk tillage,,,CC,No cover crop,,,,
,USA,35.38,-77.99,32.7,,,,0-to-15,15,24.55,61.85,,Loamy sand,,Crimson_clover,Legume,Soybean,Soybean,Conventional disk tillage,Conventional disk tillage,,,CC,No cover crop,,,,
,USA,35.38,-77.99,32.7,,,,0-to-15,15,24.55,61.85,,Loamy sand,,Vetch,Legume,Soybean,Soybean,Conventional disk tillage,Conventional disk tillage,,,CC,No cover crop,,,,
"Aurora, OR",USA,45.23,-122.76,48.4,,1040, Mediterranean,0-to-20,20,31.3,54,,Silt loam,6.3,Rye,Rye,Sweetcorn,CV,,,,,CC,Fallow,,,,
"Aurora, OR",USA,45.23,-122.76,48.4,,1040, Mediterranean,20-to-40,20,31.3,54,,Silt loam,,Rye,Rye,Sweetcorn,CV,,,,,CC,Fallow,,,,
"Aurora, OR",USA,45.23,-122.76,48.4,,1040, Mediterranean,40-to-60,20,31.3,54,,Silt loam,6.3,Rye,Rye,Sweetcorn,CV,,,,,CC,Fallow,,,,
"Aurora, OR",USA,45.23,-122.76,48.4,,1040, Mediterranean,60-to-80,20,31.3,54,,Silt loam,,Rye,Rye,Sweetcorn,CV,,,,,CC,Fallow,,,,
"Aurora, OR",USA,45.23,-122.76,48.4,,1040, Mediterranean,80-to-100,20,31.3,54,,Silt loam,6.2,Rye,Rye,Sweetcorn,CV,,,,,CC,Fallow,,,,
Benton Harbor MI USA,USA,42.07,-86.35,205,,,,Not-available,Not-available,,,,Sand,,Rye,Rye,Snap_bean/Sweetcorn,CV,Hiniker1 Model 6000 two-row strip-tiller tillage,Hiniker1 Model 6000 two-row strip-tiller tillage,,NPK fertilization,CC,Fallow,5090,4940,84.6,36.4
Benton Harbor MI USA,USA,42.07,-86.35,205,,,,Not-available,Not-available,,,,Sand,,Rye,Rye,Snap_bean/Sweetcorn,CV,Hiniker1 Model 6000 two-row strip-tiller tillage,Hiniker1 Model 6000 two-row strip-tiller tillage,,NPK fertilization,CC,Fallow,5310,5010,87.2,56.2
Benton Harbor MI USA,USA,42.07,-86.35,205,,,,Not-available,Not-available,,,,Sand,,Rye,Rye,Snap_bean/Sweetcorn,CV,Hiniker1 Model 6000 two-row strip-tiller tillage,Hiniker1 Model 6000 two-row strip-tiller tillage,,NPK fertilization,CC,Fallow,,,,
Benton Harbor MI USA,USA,42.07,-86.35,205,,,,Not-available,Not-available,,,,Sand,,Rye,Rye,Snap_bean/Sweetcorn,CV,Hiniker1 Model 6000 two-row strip-tiller tillage,Hiniker1 Model 6000 two-row strip-tiller tillage,,NPK fertilization,CC,Fallow,,,,
"Watkinsville, GA",USA,33.9,-82.4,130.1,,,,0-to-1.5,1.5,72.62,19.6,,Clay,,Crimson_clover,Legume,Soybean,Soybean, Disk-harrowed seedbed,No-tillage,,,CC-NT,Fallow,,,,
"Watkinsville, GA",USA,33.9,-82.4,130.1,,,,0-to-1.5,1.5,60.18,26.12,,Clay,,Crimson_clover,Legume,Soybean,Soybean, Disk-harrowed seedbed,No-tillage,,,CC-NT,Fallow,,,,
"Watkinsville, GA",USA,33.9,-82.4,130.1,,,,0-to-1.5,1.5,51.33,25.72,,Clay,,Crimson_clover,Legume,Soybean,Soybean, Disk-harrowed seedbed,No-tillage,,,CC-NT,Fallow,,,,
"Watkinsville, GA",USA,33.9,-82.4,130.1,,,,0-to-1.5,1.5,72.62,19.6,,Clay,,Crimson_clover,Legume,Sorghum,Sorghum, Disk-harrowed seedbed,No-tillage,,,CC-NT,Fallow,,,,
"Watkinsville, GA",USA,33.9,-82.4,130.1,,,,0-to-1.5,1.5,60.18,26.12,,Clay,,Crimson_clover,Legume,Sorghum,Sorghum, Disk-harrowed seedbed,No-tillage,,,CC-NT,Fallow,,,,
"Watkinsville, GA",USA,33.9,-82.4,130.1,,,,0-to-1.5,1.5,51.33,25.72,,Clay,,Crimson_clover,Legume,Sorghum,Sorghum, Disk-harrowed seedbed,No-tillage,,,CC-NT,Fallow,,,,
 University of Wisconsin West Madison Agricultural Research Station,USA,43.07,-89.54,331.7,,,,0-to-15,15,,,,Silt loam,7.1,Buckwheat,Grass,Vegetable,Vegetable,Conventional tillage,Conventional tillage,,,CC,Fallow,32100,28600,2320,630
 University of Wisconsin West Madison Agricultural Research Station,USA,43.07,-89.54,331.7,,,,0-to-15,15,,,,Silt loam,7.1,Buckwheat,Grass,Vegetable,Vegetable,Conventional tillage,Conventional tillage,,,CC,Fallow,,,1130,230
 University of Wisconsin Arlington Agricultural Research Station,USA,43.31,-89.34,326.5,,,,0-to-15,15,,,,Silt loam,7.3,Buckwheat,Grass,Vegetable,Vegetable,Conventional tillage,Conventional tillage,,,CC,Fallow,,,610,60
 University of Wisconsin West Madison Agricultural Research Station,USA,43.07,-89.54,331.7,,,,0-to-15,15,,,,Silt loam,7.1,Tartary_Buckwheat,Grass,Vegetable,Vegetable,Conventional tillage,Conventional tillage,,,CC,Fallow,32100,35950,2320,2040
 University of Wisconsin West Madison Agricultural Research Station,USA,43.07,-89.54,331.7,,,,0-to-15,15,,,,Silt loam,7.1,Tartary_Buckwheat,Grass,Vegetable,Vegetable,Conventional tillage,Conventional tillage,,,CC,Fallow,,,1130,270
 University of Wisconsin Arlington Agricultural Research Station,USA,43.31,-89.34,326.5,,,,0-to-15,15,,,,Silt loam,7.3,Tartary_Buckwheat,Grass,Vegetable,Vegetable,Conventional tillage,Conventional tillage,,,CC,Fallow,,,610,330
 University of Wisconsin West Madison Agricultural Research Station,USA,43.07,-89.54,331.7,,,,0-to-15,15,,,,Silt loam,7.1,Buckwheat,Grass,Vegetable,Vegetable,Conventional tillage,No-tillage,,,CC-NT,Fallow,32100,3750,,
 University of Wisconsin West Madison Agricultural Research Station,USA,43.07,-89.54,331.7,,,,0-to-15,15,,,,Silt loam,7.1,Buckwheat,Grass,Vegetable,Vegetable,Conventional tillage,No-tillage,,,CC-NT,Fallow,,,,
 University of Wisconsin Arlington Agricultural Research Station,USA,43.31,-89.34,326.5,,,,0-to-15,15,,,,Silt loam,7.3,Buckwheat,Grass,Vegetable,Vegetable,Conventional tillage,No-tillage,,,CC-NT,Fallow,,,,
 University of Wisconsin West Madison Agricultural Research Station,USA,43.07,-89.54,331.7,,,,0-to-15,15,,,,Silt loam,7.1,Tartary_Buckwheat,Grass,Vegetable,Vegetable,Conventional tillage,No-tillage,,,CC-NT,Fallow,32100,5900,,
 University of Wisconsin West Madison Agricultural Research Station,USA,43.07,-89.54,331.7,,,,0-to-15,15,,,,Silt loam,7.1,Tartary_Buckwheat,Grass,Vegetable,Vegetable,Conventional tillage,No-tillage,,,CC-NT,Fallow,,,,
 University of Wisconsin Arlington Agricultural Research Station,USA,43.31,-89.34,326.5,,,,0-to-15,15,,,,Silt loam,7.3,Tartary_Buckwheat,Grass,Vegetable,Vegetable,Conventional tillage,No-tillage,,,CC-NT,Fallow,,,,
" Beltsville, Maryland",USA,39.03,-76.91,34.6,,,,0-to-15,15,73,17,,Sandy loam,,Rye,Rye,Tomato,Vegetable,,,Lime and nutrients were applied,Lime and nutrients were applied,CC,Bare,56000,59600,,
" Beltsville, Maryland",USA,39.03,-76.91,34.6,,,,0-to-15,15,73,17,,Sandy loam,,Rye_roots,Rye,Tomato,Vegetable,,,Lime and nutrients were applied,Lime and nutrients were applied,CC,Bare,56000,55100,,
" Beltsville, Maryland",USA,39.03,-76.91,34.6,,,,0-to-15,15,73,17,,Sandy loam,,Rye_shoots,Rye,Tomato,Vegetable,,,Lime and nutrients were applied,Lime and nutrients were applied,CC,Bare,56000,57900,,
" Beltsville, Maryland",USA,39.03,-76.91,34.6,,,,0-to-15,15,73,17,,Sandy loam,,Vetch,Legume,Tomato,Vegetable,,,Lime and nutrients were applied,Lime and nutrients were applied,CC,Bare,56000,56000,,
" Beltsville, Maryland",USA,39.03,-76.91,34.6,,,,0-to-15,15,73,17,,Sandy loam,,Vetch_roots,Legume,Tomato,Vegetable,,,Lime and nutrients were applied,Lime and nutrients were applied,CC,Bare,56000,44400,,
" Beltsville, Maryland",USA,39.03,-76.91,34.6,,,,0-to-15,15,73,17,,Sandy loam,,Vetch_shoots,Legume,Tomato,Vegetable,,,Lime and nutrients were applied,Lime and nutrients were applied,CC,Bare,56000,62300,,
" Beltsville, Maryland",USA,39.03,-76.91,34.6,,,,0-to-15,15,73,17,,Sandy loam,,Rye,Rye,Tomato,Vegetable,,,Lime and nutrients were applied,Lime and nutrients were applied,CC,Bare,83900,80700,,
" Beltsville, Maryland",USA,39.03,-76.91,34.6,,,,0-to-15,15,73,17,,Sandy loam,,Rye_roots,Rye,Tomato,Vegetable,,,Lime and nutrients were applied,Lime and nutrients were applied,CC,Bare,83900,70900,,
" Beltsville, Maryland",USA,39.03,-76.91,34.6,,,,0-to-15,15,73,17,,Sandy loam,,Rye_shoots,Rye,Tomato,Vegetable,,,Lime and nutrients were applied,Lime and nutrients were applied,CC,Bare,83900,84100,,
" Beltsville, Maryland",USA,39.03,-76.91,34.6,,,,0-to-15,15,73,17,,Sandy loam,,Vetch,Legume,Tomato,Vegetable,,,Lime and nutrients were applied,Lime and nutrients were applied,CC,Bare,83900,82100,,
" Beltsville, Maryland",USA,39.03,-76.91,34.6,,,,0-to-15,15,73,17,,Sandy loam,,Vetch_roots,Legume,Tomato,Vegetable,,,Lime and nutrients were applied,Lime and nutrients were applied,CC,Bare,83900,59300,,
" Beltsville, Maryland",USA,39.03,-76.91,34.6,,,,0-to-15,15,73,17,,Sandy loam,,Vetch_shoots,Legume,Tomato,Vegetable,,,Lime and nutrients were applied,Lime and nutrients were applied,CC,Bare,83900,82600,,
" Beltsville, Maryland",USA,39.03,-76.91,34.6,,,,0-to-15,15,73,17,,Sandy loam,,Rye,Rye,Tomato,Vegetable,,,Lime and nutrients were applied,Lime and nutrients were applied,CC,Bare,88000,77800,,
" Beltsville, Maryland",USA,39.03,-76.91,34.6,,,,0-to-15,15,73,17,,Sandy loam,,Rye_roots,Rye,Tomato,Vegetable,,,Lime and nutrients were applied,Lime and nutrients were applied,CC,Bare,88000,65600,,
" Beltsville, Maryland",USA,39.03,-76.91,34.6,,,,0-to-15,15,73,17,,Sandy loam,,Rye_shoots,Rye,Tomato,Vegetable,,,Lime and nutrients were applied,Lime and nutrients were applied,CC,Bare,88000,82000,,
